LAST SEEN   TYPE      REASON                     OBJECT                                                    MESSAGE
165m        Normal    SuccessfulDelete           replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd   Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-qpllc
165m        Normal    Killing                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-qpllc    Stopping container vllm
165m        Normal    Killing                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-qpllc    Stopping container routing-proxy
165m        Normal    SuccessfulCreate           replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd   Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl
165m        Normal    Scheduled                  pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl to pokprod-b93r38s0
164m        Normal    Pulling                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
164m        Normal    Pulled                     pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 281ms (281ms including waiting). Image size: 44914390 bytes.
164m        Normal    AddedInterface             pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Add eth0 [10.128.11.201/23] from ovn-kubernetes
164m        Normal    Started                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Started container routing-proxy
164m        Normal    Pulling                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
164m        Normal    Created                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Created container: routing-proxy
164m        Normal    Pulled                     pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 299ms (299ms including waiting). Image size: 7504590361 bytes.
164m        Normal    Created                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Created container: preprocess
164m        Normal    Started                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Started container preprocess
164m        Normal    Pulled                     pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
164m        Normal    Created                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Created container: vllm
164m        Normal    Started                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Started container vllm
164m        Warning   Unhealthy                  pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Startup probe failed: HTTP probe failed with statuscode: 503
70m         Normal    ScalingReplicaSet          deployment/qwen-qwe-3db867ce-en3-0-6b-decode              Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 1 to 0
70m         Normal    Killing                    pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-5whrl    Stopping container vllm
