LAST SEEN   TYPE      REASON                         OBJECT                                                                   MESSAGE
112m        Normal    KEDAScaleTargetActivated       scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       Scaled apps/v1.Deployment biran/qwen-qwe-3db867ce-en3-0-6b-decode from 0 to 1, triggered by s0-wva-desired-replicas
112m        Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg to pokprod-b93r39s2
112m        Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 0 to 1
112m        Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-l7gvg                   Stopping container vllm
112m        Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-l7gvg                   Stopping container routing-proxy
112m        Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-l7gvg
112m        Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg
112m        Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 1 to 0
112m        Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
112m        Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Add eth0 [10.129.8.140/23] from ovn-kubernetes
112m        Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
112m        Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-gsvmg                   Created container: routing-proxy
